m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
SUMM,SUMM,SUMMIT FINL CP,SUMMIT FINL CP,,,,N,,,,,,,,,,12,,,,,,,,,
KBLH,SUMR,SUMMER INFANT,"Summer Infant, Inc.",NSDQ,USD,S,Y,http://www.summerinfant.com,3990,Miscellaneous manufacturing industries,123,CONSM PD-MISC DIS,2,Consumer Discretionary,12,OTHER CONS DISC,12,,,0001314772,US,UNITED STATES,1,N,N,COM
ASYM,SUMT,SUMTOTAL SYS,SUMTOTAL SYS,,,,N,,,,,,,,,,12,,,,,,,,,
#MIX,SUMX,HABASIT HOLDING,HABASIT HOLDING,,,,N,,,,,,,,,,8,,,,,,,,,
SUSP,SUN,SUNOCO LP,Sunoco LP,NYSE,USD,S,Y,http://www.sunocolp.com,5172,"Petroleum products, not elsewhere classified",220,Oil Refining & Marketing MLP,12,Oils/Energy,43,OIL-MISC,12,,,0001552275,US,UNITED STATES,6,Y,N,MLP
SUN,SUN.,SUNOCO INC,SUNOCO INC,,,,N,,,,,,,,,,12,,,,,,,,,
SUNA,SUNA,SUNWORLD INTL A,SUNWORLD INTL A,,,,N,,,,,,,,,,12,,,,,,,,,
PDS&,SUNC,SUNCAST SOLAR,Suncast Solar Energy Inc.,OTC,USD,S,Y,,8734,Testing laboratories,287,Waste Removal Svcs,16,Business Services,59,BUSINESS SERVICES,6,,,,US,UNITED STATES,1,N,N,COM
SUN3,SUND,SUNDANCE STRTGS,SUNDANCE STRTGS,OTC,,S,Y,,,,,,,,,,3,,,,,,,,,
SUND,SUND.,SOUND ADVICE,SOUND ADVICE,,,,N,,,,,,,,,,1,,,,,,,,,
WFR,SUNEQ,SUNEDISON INC,SunEdison Inc.,OTC,USD,S,Y,http://www.sunedison.com,3674,Semiconductors & related devices,49,ELEC COMP-SEMIC,10,Computer and Technology,33,ELECTRON-SEMI,12,,,0000945436,US,UNITED STATES,1,Y,N,COM
SUNF,SUNF,SUNF INC,SUNF INC,,,,N,,,,,,,,,,8,,,,,,,,,
